time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.02,-0.563218585,0.366768799,-1.478964812,-1.164743203,0.62016183,1.084742383,-0.5632391455356849,0.3667838542250264,-1.4789413445428157,-1.1647669456860177,0.6201718458619545,1.0847485209997854,0.002195172,-0.002034402,-0.003627724,0.003814124,-0.001311593,-0.003954566,0.00012360634283795018,-0.000637424893520119,-0.0015792525802000525,0.0017141765072467363,-0.00042883104094845265,-0.0037633977970053666,0.04348736671172981,-0.029445064632240413,-0.03465293929155122,0.0046747487058601345,-0.0005415395990705948,-3.370745559555241e-05,0.6021813733094794,-0.2513574140260683,0.5056387215080268,0.6021801757325055,-0.2513742271305341,0.5056376400684295
0.021,-0.563216335,0.366766714,-1.478968531,-1.164739293,0.620160485,1.08473833,-0.5632390097144333,0.3667831625812736,-1.4789430579153962,-1.1647651001690469,0.6201713683867198,1.0847445302427823,0.002304936,-0.002136107,-0.003809092,0.004004851,-0.001377169,-0.004152309,0.0001358212515257537,-0.0006916437528147924,-0.0017133725804449405,0.0018455169707064414,-0.0004774752347076085,-0.003990757003082722,0.045649766412813986,-0.03053412307106286,-0.03556935748119115,0.0048348114395246455,-0.0005586807498445948,-3.152488810030031e-05,0.6021813664417045,-0.2513553528600746,0.5056387264810113,0.6021799900506087,-0.25137382937159375,0.5056374808432113
0.022,-0.563213976,0.366764527,-1.47897243,-1.164735193,0.620159075,1.084734078,-0.5632388605679213,0.3667824151149694,-1.478944908983169,-1.1647631213992282,0.6201708395690173,1.0847403142921643,0.002414701,-0.002237811,-0.003990458,0.004195581,-0.001442743,-0.004350055,0.0001491465120241208,-0.0007474663041670802,-0.0018510677729169627,0.0019787698185624587,-0.0005288177024907236,-0.004215950618032859,0.04779954655164442,-0.03159570541359728,-0.0364319249798095,0.004992190347438302,-0.0005746083389276676,-2.9437227050061467e-05,0.6021813591549501,-0.25135319171087284,0.5056387324762048,0.6021797888253582,-0.25137340041080425,0.5056373067685872
0.023,-0.563211506,0.366762238,-1.478976512,-1.164730902,0.6201576,1.084729629,-0.5632386969702265,0.36678161029566375,-1.4789469011251222,-1.1647610076654056,0.6201702567793004,1.0847358753328395,0.002524467,-0.002339511,-0.004171821,0.004386314,-0.001508317,-0.004547803,0.00016359769474367126,-0.0008048193056667806,-0.001992141953277492,0.0021137338226414728,-0.0005827897169802945,-0.004438959324676032,0.049936483127778625,-0.032631063453037706,-0.03724373473778814,0.005147273662827273,-0.0005893314345138704,-2.7446492544814238e-05,0.6021813515713521,-0.2513509290151895,0.5056387382419106,0.6021795717287158,-0.2513729392202775,0.5056371173537612
0.024,-0.563208927,0.366759848,-1.478980774,-1.16472642,0.620156059,1.084724983,-0.5632385177822598,0.366780746662071,-1.4789490375361125,-1.1647587574363345,0.6201696174616274,1.084731215542783,0.002634233,-0.00244121,-0.004353182,0.00457705,-0.00157389,-0.004745553,0.00017918796678166756,-0.0008636335927333379,-0.00213641099043887,0.0022502290710203457,-0.0006393176729987135,-0.004659790056577767,0.05205997889033917,-0.033641394352433296,-0.03800725326398159,0.005300390584648548,-0.0006028707797738088,-2.5558663822718984e-05,0.6021813437955927,-0.2513485664535353,0.5056387444426896,0.602179338460242,-0.2513724447943403,0.5056369121313793
0.025,-0.563206237,0.366757356,-1.478985218,-1.164721748,0.620154452,1.084720138,-0.5632383218541124,0.36677982281861876,-1.4789513212368894,-1.164756369341928,0.6201689191367097,1.084726337060809,0.002744001,-0.002542906,-0.004534539,0.00476779,-0.001639463,-0.004943306,0.00019592814737843153,-0.0009238434522593616,-0.0022837007769705066,0.0023880944065075684,-0.0006983249176825708,-0.004878481974094998,0.05416994246366379,-0.034627932816691034,-0.03872515261732053,0.005451818025544831,-0.0006152404082558857,-2.37831044990941e-05,0.6021813357942174,-0.2513461026038263,0.5056387507125736,0.6021790887459355,-0.25137191614806736,0.5056366906573292
0.026,-0.563203439,0.366754762,-1.478989843,-1.164716885,0.62015278,1.084715096,-0.5632381080269134,0.3667788374318225,-1.478953755084485,-1.1647538421566273,0.620168159405087,1.0847212419484222,0.002853769,-0.0026446,-0.004715893,0.004958534,-0.001705035,-0.005141062,0.00021382719899757134,-0.0009853867962725422,-0.0024338475955670916,0.0025271853007473285,-0.0007597316227022491,-0.005095112386716617,0.05626573871138889,-0.03559180725679705,-0.03939975971212774,0.005601840531049649,-0.0006264457395188908,-2.2113814329231888e-05,0.602181327043684,-0.25134353920818253,0.5056387576567744,0.6021788223369506,-0.25137135231560176,0.5056364525102747
0.027,-0.56320053,0.366752067,-1.47899465,-1.164711831,0.620151042,1.084709856,-0.5632378751350319,0.36677778922703463,-1.4789563417815959,-1.164751174782525,0.6201673359514447,1.0847159321861153,0.002963539,-0.002746291,-0.004897244,0.005149281,-0.001770606,-0.00533882,0.00023289188159656608,-0.0010482047878526933,-0.0025866971109406098,0.002667374102345009,-0.0008234536422869564,-0.00530976230697018,0.05834745587125278,-0.03653394694640805,-0.04003340769727945,0.005750689445810268,-0.0006365156933029804,-2.05531737884862e-05,0.6021813182940152,-0.2513408745502956,0.505638764131256,0.602178539008452,-0.2513707523486951,0.5056361972914818
0.028,-0.563197511,0.36674927,-1.478999638,-1.164706586,0.620149238,1.084704418,-0.5632376220074761,0.36677667698541505,-1.4789590838853814,-1.164748366235847,0.6201664465453213,1.0847104096538864,0.003073309,-0.002847979,-0.005078592,0.005340032,-0.001836176,-0.005536582,0.0002531275557772984,-0.0011122416195675753,-0.002742103785481517,0.0028085466778837356,-0.0008894061234045517,-0.005522532228764013,0.06041472963205695,-0.03745544615015199,-0.04062814060177187,0.0058985753611725256,-0.0006454703915105132,-1.9098943357996333e-05,0.6021813092950116,-0.25133810923437944,0.505638771231346,0.6021782385585327,-0.25137011531540604,0.5056359246242427
0.029,-0.563194383,0.366746371,-1.479004807,-1.164701151,0.62014737,1.084698783,-0.5632373474695518,0.3667754995410167,-1.4789619838156114,-1.1647454156337582,0.6201654890428346,1.084704676122629,0.00318308,-0.002949664,-0.005259936,0.005530787,-0.001901745,-0.005734346,0.0002745379242526615,-0.0011774443983436885,-0.0028999302299873688,0.00295060208885222,-0.0009575024866324261,-0.005733531257314432,0.062467288470123276,-0.03835724613479276,-0.041185947071284465,0.006045662497459022,-0.0006533116850304206,-1.774454730183679e-05,0.6021812997147837,-0.25133524374974847,0.5056387789486725,0.6021779208071554,-0.2513694402989586,0.5056356341535327
