time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,ddq_ref_1,ddq_ref_2,ddq_ref_3,ddq_ref_4,ddq_ref_5,ddq_ref_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.02,-0.217058345,0.277355875,-1.648845217,-0.564880623,0.414029159,0.525748847,-0.21705826868877703,0.27735588198299793,-1.6488455974086993,-0.5648803165689632,0.41402973222199735,0.5257485606828367,-0.063291438,0.004223996,0.068441173,-0.214306269,-0.022477701,0.210028638,-0.06328955918608861,0.0042254026636946145,0.06844404991519427,-0.21430711056388133,-0.02247903619112355,0.21003590724296212,0.002889499999998435,-0.0034440000000000026,-0.0476045000000056,0.03840399999999988,0.05471550000000036,-0.03876300000000299,0.0017644172344580427,-27.049304765085445,13.134793256650195,2.080746005809619,0.0765024477666062,0.0004911821819298031,0.6414382304679537,-0.0009999875189780458,0.5414382313844434,0.6414381891181038,-0.0009998878505799035,0.5414381396449266
0.021,-0.217121635,0.277360097,-1.6487768,-0.56509491,0.414006708,0.525958857,-0.21712155539076755,0.27736010390138827,-1.6487772010191715,-0.5650945853080814,0.4140073073989487,0.5259585584738018,-0.063288555,0.004220552,0.068393557,-0.214267827,-0.02242298,0.209989832,-0.06328670199052484,0.004221918390355538,0.06839638952771682,-0.2142687391182619,-0.022424823048627498,0.20999779096513718,0.0028755000000124653,-0.0034440000000000026,-0.04762749999999727,0.03848049999999148,0.05472750000000026,-0.038848500000000286,0.0017556934343660707,-27.049469104256477,13.134899550515602,2.080525650845496,0.07649302391549825,0.0004911640692026898,0.6414380491645558,-0.0010499863567185511,0.5414380501411085,0.6414380055725363,-0.0010498819886560885,0.5414379534872626
0.022,-0.217184922,0.277364316,-1.64870843,-0.565309158,0.413984313,0.526168827,-0.21718483924785395,0.2773643223384307,-1.6487088523012638,-0.5653088156230249,0.413984936789748,0.5261685180453173,-0.063285687,0.004217108,0.068345918,-0.214229308,-0.022368246,0.209950941,-0.063283857086406,0.00421843704244216,0.06834871790764158,-0.21423031494347294,-0.022370609200675323,0.20995957151547587,0.002861499999998074,-0.0034444999999996284,-0.0476499999999902,0.03855699999998308,0.054739999999997124,-0.03893399999998337,0.0017469886332585277,-27.049634562004474,13.135006168037627,2.080305353020904,0.07648363905019248,0.0004911419943221771,0.6414378592421671,-0.0010999850111910962,0.5414378602553097,0.6414378131710128,-0.0010998761032367918,0.5414377584396484
0.023,-0.217248206,0.277368531,-1.648640108,-0.565523368,0.413961972,0.526378759,-0.2172481202725486,0.2773685372963867,-1.6486405512667759,-0.565523007457688,0.41396262039925974,0.5263784392822338,-0.063282832,0.004213663,0.068298257,-0.214190713,-0.0223135,0.209911964,-0.06328102469466401,0.004214957956020904,0.06830103448798543,-0.21419183466307312,-0.02231639048827307,0.20992123691649908,0.0028480000000001837,-0.0034449999999996983,-0.04767250000000445,0.03863300000000436,0.0547519999999988,-0.039020000000007826,0.0017389878108559273,-27.04979994413896,13.135112384672682,2.0800849881194963,0.07647425286152854,0.0004911228361154355,0.6414376602803267,-0.001149983523696647,0.5414376615773318,0.6414376119146549,-0.0011498701917712975,0.5414375545022314
0.024,-0.217311487,0.277372743,-1.648571833,-0.56573754,0.413939686,0.526588651,-0.21731139847699996,0.27737274877724943,-1.6485722979285238,-0.5657371607542899,0.41394035823286457,0.5265883220741876,-0.063279991,0.004210218,0.068250573,-0.214152042,-0.022258742,0.209872901,-0.06327820445133417,0.004211480862720826,0.0682533382521043,-0.21415329660191426,-0.022262166395191872,0.20988279195378517,0.002834000000000003,-0.0034455000000002123,-0.047695000000004484,0.03870899999999722,0.05476400000000048,-0.03910599999998965,0.0017302527441103112,-27.049965068353234,13.135218370646967,2.07986451763195,0.07646487256001928,0.0004911009500888358,0.6414374526437199,-0.0011999819143453723,0.5414374540376369,0.6414374018044585,-0.001199864251351329,0.5414373416751079
0.025,-0.217374766,0.277376952,-1.648503607,-0.565951672,0.413917454,0.526798504,-0.2173746738739752,0.2773769567829021,-1.6485040922999745,-0.5659512754532712,0.4139181502977713,0.5267981663030014,-0.063277164,0.004206772,0.068202867,-0.214113295,-0.022203972,0.209833752,-0.06327539697523597,0.004208005652644516,0.06820562854927104,-0.21411469898121133,-0.022207935093255828,0.20984422881370857,0.00281999999999627,-0.003446000000000282,-0.04771699999999157,0.038785500000003026,0.054776000000002156,-0.039191999999999894,0.0017214311322246185,-27.050130369421744,13.135324300917551,2.079644079464649,0.07645549625923814,0.0004910804983467084,0.6414372361263885,-0.0012499807456238434,0.541437236867015,0.6414371828413878,-0.001249858279290135,0.5414371199585275
0.026,-0.217438042,0.277381157,-1.648435428,-0.566165766,0.413895278,0.527008319,-0.2174379464765364,0.27738116131496127,-1.6484359343955144,-0.5661653514907112,0.41389599660264653,0.5270079718495209,-0.063274351,0.004203326,0.068155139,-0.214074471,-0.02214919,0.209794517,-0.06327260256119853,0.004204532059167964,0.06815790446005467,-0.2140760374401078,-0.0221536951247553,0.2098055465194846,0.0028059999999960894,-0.003446000000000282,-0.047739499999998714,0.03886199999999462,0.05478800000000028,-0.03927749999999719,0.0017125721367391765,-27.05029427192774,13.135429436520914,2.0794234557130005,0.07644612584370047,0.0004910650459457181,0.641437010724706,-0.0012999793398403708,0.5414370115495688,0.6414369550264438,-0.001299852272848095,0.5414368893531629
0.027,-0.217501315,0.277385358,-1.648367296,-0.566379821,0.413873156,0.527218093,-0.2175012162978118,0.2773853623754212,-1.6483678242304596,-0.5663793888018317,0.4138738971585439,0.5272177386047324,-0.063271552,0.00419988,0.068107388,-0.214035571,-0.022094396,0.209755197,-0.06326982127542412,0.004201060459955709,0.06811016505479149,-0.2140373111204804,-0.02209944410263669,0.20976675521151955,0.0027919999999994616,-0.003446000000000282,-0.04776199999999875,0.03893799999998748,0.05479949999999967,-0.039362999999994486,0.0017036918858049672,-27.050458014754007,13.135534318947894,2.0792027358645813,0.07643674709299247,0.0004910446802476555,0.6414367764928394,-0.0013499777658807271,0.5414367780343406,0.6414367183606033,-0.001349846229159516,0.5414366498593348
0.028,-0.217564585,0.277389557,-1.648299213,-0.566593837,0.413851089,0.527427829,-0.21756448335101514,0.2773895599661407,-1.6482997618206503,-0.5665933873207966,0.41385185197626234,0.5274274664475959,-0.063268767,0.004196434,0.068059615,-0.213996595,-0.022039591,0.209715791,-0.06326705320333487,0.004197590719459623,0.06806240980937456,-0.21399851896482947,-0.02204518228153819,0.20972784286345705,0.002778499999994466,-0.003446499999999908,-0.04778400000000005,0.039013499999995815,0.05481149999999957,-0.03944899999999052,0.001695569714432172,-27.05062277364573,13.13563938320409,2.078982040626481,0.07642739450635837,0.0004910293606581258,0.6414365335335093,-0.0013999759859199838,0.5414365342206738,0.6414364728447876,-0.0013998401453676555,0.5414364014773118
0.029,-0.217627852,0.277393751,-1.648231177,-0.566807815,0.413829077,0.527637525,-0.21762774764897533,0.2773937540883581,-1.6482317471822958,-0.5668073469802961,0.4138298610687892,0.5276371552669703,-0.063265995,0.004192987,0.06801182,-0.213957544,-0.021984773,0.209676299,-0.06326429796020125,0.004194122217417903,0.06801463835459126,-0.2139596594994988,-0.021990907473116265,0.20968881937449252,0.0027645000000084963,-0.003446999999999978,-0.04780650000000719,0.039090000000015834,0.054823500000001246,-0.03953450000001624,0.0016868301756934807,-27.050787248722727,13.135744113001813,2.0787612154219595,0.07641803867734626,0.0004910137934062236,0.6414362814798342,-0.0014499739491847777,0.5414362827955504,0.6414362184798099,-0.0014498340181670337,0.5414361442079588
